Node,RX,Origem,Status,Latitude,Longitude
AREAA,,PELOTAS,,-31.754303138064,-52.30551103383245
AREAB,,PELOTAS,,-31.75567699864111,-52.31227679838958
AREAC,,PELOTAS,,-31.75696302418882,-52.32051962920276
AREADA,,PELOTAS,,-31.75385447186519,-52.32883713928877
AREADB,,PELOTAS,,-31.75141500436469,-52.32313298894682
AREAE,,PELOTAS,,-31.74981969102995,-52.29576300946516
AREAFA,,PELOTAS,,-31.74817434291919,-52.3259372832286
AREAFB,,PELOTAS,,-31.74218953391956,-52.32803715092927
AREAG,,PELOTAS,,-31.75128062570011,-52.31002916270218
AREAH,,PELOTAS,,-31.76588243648363,-52.30528471475231
AREAI,,PELOTAS,,-31.75831276266377,-52.30431606958123
AREAJ,,PELOTAS,,-31.76588243648363,-52.30528471475231
AREBA,,PELOTAS,,-31.73997213313558,-52.29226659201328
CNTAAA,,PELOTAS,,-31.77651081901447,-52.34559266378685
CNTAAB,,PELOTAS,,-31.77341760087528,-52.34976124222024
CNTABA,,PELOTAS,,-31.77957006352856,-52.34292291218917
CNTABB,,PELOTAS,,-31.7760432435557,-52.34031639312926
CNTAC,,PELOTAS,,-31.76891972735902,-52.34867646950183
CNTADA,,PELOTAS,,-31.77988927154207,-52.33659118733333
CNTADB,,PELOTAS,,-31.7798938830771,-52.33098358773694
CNTAE,,PELOTAS,,-31.77315603338667,-52.33734041637042
CNTAF,,PELOTAS,,-31.76895801181058,-52.33981296584986
CNTAGA,,PELOTAS,,-31.76381869486667,-52.34295769996183
CNTAGB,,PELOTAS,,-31.76356502685973,-52.34682834202118
CNTAH,,PELOTAS,,-31.76813127674703,-52.33435248583222
CNTAIA,,PELOTAS,,-31.76322435784973,-52.33860055668627
CNTAIB,,PELOTAS,,-31.76402415782437,-52.33373392142991
CNTAJA,,PELOTAS,,-31.75955286787477,-52.34116614806054
CNTAJB,,PELOTAS,,-31.76084027957578,-52.34824827925366
CNTAKA,,PELOTAS,,-31.75500878141847,-52.33663469313404
CNTAKB,,PELOTAS,,-31.75947265148107,-52.33506232462367
CNTAL,,PELOTAS,,-31.75218656646321,-52.34079598833152
CNTAMA,,PELOTAS,,-31.77450452330794,-52.35444451642997
CNTAMB,,PELOTAS,,-31.76926289566352,-52.3544842857939
CRZAAA,,PELOTAS,,-31.75950453616144,-52.32836872451373
CRZAAB,,PELOTAS,,-31.76264186571311,-52.32442250327805
CRZAB,,PELOTAS,,-31.76264186571311,-52.32442250327805
FGTAA,,PELOTAS,,-31.76420438416102,-52.35927045217446
FGTAB,,PELOTAS,,-31.76860684157664,-52.36017671951943
