Node,Regiao
AREAA,AREAL
AREAB,AREAL
AREAC,AREAL
AREADA,AREAL
AREADB,AREAL
AREAE,AREAL
AREAFA,AREAL
AREAFB,AREAL
AREAG,AREAL
AREAH,AREAL
AREAI,AREAL
AREAJ,AREAL
AREBA,AREAL
AREBC,AREAL
CNTAAA,CENTRO
CNTAAB,CENTRO
CNTABA,CENTRO
CNTABB,CENTRO
CNTAC,CENTRO
CNTADA,CENTRO
CNTADB,CENTRO
CNTAE,CENTRO
CNTAF,CENTRO
CNTAGA,CENTRO
CNTAGB,CENTRO
CNTAH,CENTRO
CNTAIA,CENTRO
CNTAIB,CENTRO
CNTAJA,CENTRO
CNTAJB,CENTRO
CNTAKA,CENTRO
CNTAKB,CENTRO
CNTAL,CENTRO
CNTAMA,CENTRO
CNTAMB,CENTRO
CRZAAA,CENTRO
CRZAAB,CENTRO
CRZAB,CENTRO
FGTAA,FRAGATA
FGTAB,FRAGATA
FGTAC,FRAGATA
FGTAD,FRAGATA
FGTAE,FRAGATA
FGTAFA,FRAGATA
FGTAFB,FRAGATA
FGTAGA,FRAGATA
FGTAGB,FRAGATA
FGTAH,FRAGATA
FGTAIA,FRAGATA
FGTAIB,FRAGATA
FGTAJA,FRAGATA
FGTAJB,FRAGATA
FGTAKA,FRAGATA
FGTAKB,FRAGATA
FGTAL,FRAGATA
FGTAMA,FRAGATA
FGTAMB,FRAGATA
FGTAN,FRAGATA
PLRAA,LARANJAL
PLRAB,LARANJAL
PLRAC,LARANJAL
PLRAD,LARANJAL
RECAA,SÃO GONÇALO
RECAB,SÃO GONÇALO
RECAC,SÃO GONÇALO
STRAA,TRÊS VENDAS
STRAB,TRÊS VENDAS
STRACA,TRÊS VENDAS
STRACB,TRÊS VENDAS
STRAD,TRÊS VENDAS
STRAE,TRÊS VENDAS
STRAF,TRÊS VENDAS
STRAG,TRÊS VENDAS
STRAH,TRÊS VENDAS
STRAI,TRÊS VENDAS
STRBD,TRÊS VENDAS
STRBN,TRÊS VENDAS
TRVAA,TRÊS VENDAS
TRVAB,TRÊS VENDAS
TRVACA,TRÊS VENDAS
TRVACB,TRÊS VENDAS
TRVAD,TRÊS VENDAS
TRVAE,TRÊS VENDAS
TRVAF,TRÊS VENDAS
TRVAG,TRÊS VENDAS
TRVAH,TRÊS VENDAS
TVRAIA,TRÊS VENDAS
TVRAIB,TRÊS VENDAS
